model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
30,random_forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.72, 0.7, 0.73, 0.77, 0.73, 0.72, 0.72, 0.68, 0.68, 0.68, 0.73, 0.73, 0.82, 0.77, 0.72, 0.7, 0.77, 0.83, 0.77]",0.736,"[]",-
31,random_forest,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.82, 0.72, 0.7, 0.75, 0.7, 0.73, 0.67, 0.72, 0.7, 0.67, 0.73, 0.72, 0.75, 0.85, 0.77, 0.72, 0.67, 0.78, 0.82, 0.73]",0.736,"[]",-
32,random_forest,"{'n_estimators': 225, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.82, 0.7, 0.7, 0.75, 0.73, 0.77, 0.67, 0.67, 0.67, 0.67, 0.72, 0.75, 0.75, 0.85, 0.75, 0.72, 0.68, 0.8, 0.82, 0.73]",0.736,"[]",-
33,random_forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.85, 0.7, 0.7, 0.73, 0.72, 0.77, 0.65, 0.68, 0.65, 0.67, 0.72, 0.75, 0.73, 0.85, 0.77, 0.72, 0.65, 0.78, 0.85, 0.77]",0.735,"[]",-
34,random_forest,"{'n_estimators': 215, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.83, 0.7, 0.7, 0.77, 0.7, 0.77, 0.63, 0.7, 0.68, 0.65, 0.73, 0.75, 0.78, 0.83, 0.75, 0.72, 0.65, 0.77, 0.85, 0.75]",0.735,"[]",-
35,random_forest,"{'n_estimators': 215, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.78, 0.73, 0.7, 0.75, 0.73, 0.7, 0.7, 0.72, 0.7, 0.7, 0.68, 0.77, 0.77, 0.85, 0.78, 0.7, 0.67, 0.73, 0.82, 0.73]",0.735,"[]",-
36,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.83, 0.73, 0.7, 0.73, 0.73, 0.77, 0.67, 0.68, 0.68, 0.67, 0.72, 0.72, 0.75, 0.85, 0.75, 0.7, 0.67, 0.78, 0.83, 0.75]",0.735,"[]",-
37,random_forest,"{'n_estimators': 230, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.82, 0.7, 0.7, 0.78, 0.72, 0.75, 0.65, 0.7, 0.68, 0.67, 0.68, 0.75, 0.73, 0.87, 0.78, 0.7, 0.67, 0.8, 0.8, 0.75]",0.735,"[]",-
38,random_forest,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.83, 0.75, 0.7, 0.72, 0.72, 0.75, 0.65, 0.7, 0.67, 0.65, 0.73, 0.75, 0.73, 0.82, 0.75, 0.7, 0.65, 0.8, 0.85, 0.77]",0.734,"[]",-
39,random_forest,"{'n_estimators': 195, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.85, 0.73, 0.7, 0.77, 0.7, 0.73, 0.65, 0.72, 0.67, 0.67, 0.73, 0.73, 0.7, 0.87, 0.77, 0.7, 0.65, 0.78, 0.82, 0.75]",0.734,"[]",-
